"Sensitivity","Specificity","Pos Pred Value","Neg Pred Value","Precision","Recall","F1","Prevalence","Detection Rate","Detection Prevalence","Balanced Accuracy"
0.815,0.81,0.810945273631841,0.814070351758794,0.810945273631841,0.815,0.812967581047382,0.5,0.4075,0.5025,0.8125
0.85,0.87,0.86734693877551,0.852941176470588,0.86734693877551,0.85,0.858585858585858,0.5,0.425,0.49,0.86
0.835,0.805,0.810679611650486,0.829896907216495,0.810679611650485,0.835,0.822660098522167,0.5,0.4175,0.515,0.82
0.84,0.85,0.848484848484849,0.841584158415842,0.848484848484849,0.84,0.844221105527638,0.5,0.42,0.495,0.845
0.86,0.865,0.864321608040201,0.860696517412935,0.864321608040201,0.86,0.862155388471178,0.5,0.43,0.4975,0.8625
0.85,0.84,0.841584158415842,0.848484848484849,0.841584158415842,0.85,0.845771144278607,0.5,0.425,0.505,0.845
0.865,0.845,0.848039215686274,0.862244897959184,0.848039215686274,0.865,0.856435643564356,0.5,0.4325,0.51,0.855
0.885,0.89,0.889447236180904,0.885572139303483,0.889447236180904,0.885,0.887218045112782,0.5,0.4425,0.4975,0.8875
0.855,0.82,0.826086956521739,0.849740932642487,0.826086956521739,0.855,0.84029484029484,0.5,0.4275,0.5175,0.8375
0.815,0.825,0.823232323232323,0.816831683168317,0.823232323232323,0.815,0.819095477386935,0.5,0.4075,0.495,0.82
0.865,0.85,0.852216748768473,0.862944162436548,0.852216748768473,0.865,0.858560794044665,0.5,0.4325,0.5075,0.8575
0.85,0.845,0.845771144278607,0.849246231155779,0.845771144278607,0.85,0.84788029925187,0.5,0.425,0.5025,0.8475
0.895,0.88,0.881773399014778,0.893401015228426,0.881773399014778,0.895,0.88833746898263,0.5,0.4475,0.5075,0.8875
0.87,0.86,0.861386138613861,0.868686868686869,0.861386138613861,0.87,0.865671641791045,0.5,0.435,0.505,0.865
0.81,0.83,0.826530612244898,0.813725490196078,0.826530612244898,0.81,0.818181818181818,0.5,0.405,0.49,0.82
0.83,0.845,0.842639593908629,0.832512315270936,0.842639593908629,0.83,0.836272040302267,0.5,0.415,0.4925,0.8375
0.845,0.825,0.82843137254902,0.841836734693878,0.82843137254902,0.845,0.836633663366337,0.5,0.4225,0.51,0.835
0.86,0.845,0.847290640394089,0.857868020304569,0.847290640394089,0.86,0.853598014888337,0.5,0.43,0.5075,0.8525
0.81,0.855,0.848167539267016,0.818181818181818,0.848167539267016,0.81,0.828644501278772,0.5,0.405,0.4775,0.8325
0.825,0.845,0.841836734693878,0.82843137254902,0.841836734693878,0.825,0.833333333333333,0.5,0.4125,0.49,0.835
0.855,0.83,0.834146341463415,0.851282051282051,0.834146341463415,0.855,0.844444444444444,0.5,0.4275,0.5125,0.8425
0.865,0.86,0.860696517412935,0.864321608040201,0.860696517412935,0.865,0.86284289276808,0.5,0.4325,0.5025,0.8625
0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.5,0.43,0.5,0.86
0.89,0.85,0.855769230769231,0.885416666666667,0.855769230769231,0.89,0.872549019607843,0.5,0.445,0.52,0.87
0.83,0.84,0.838383838383838,0.831683168316832,0.838383838383838,0.83,0.834170854271357,0.5,0.415,0.495,0.835
0.86,0.815,0.822966507177034,0.853403141361257,0.822966507177033,0.86,0.841075794621027,0.5,0.43,0.5225,0.8375
0.805,0.81,0.809045226130653,0.805970149253731,0.809045226130653,0.805,0.807017543859649,0.5,0.4025,0.4975,0.8075
0.88,0.87,0.871287128712871,0.878787878787879,0.871287128712871,0.88,0.875621890547264,0.5,0.44,0.505,0.875
0.84,0.81,0.815533980582524,0.835051546391753,0.815533980582524,0.84,0.827586206896552,0.5,0.42,0.515,0.825
0.905,0.87,0.8743961352657,0.901554404145078,0.8743961352657,0.905,0.889434889434889,0.5,0.4525,0.5175,0.8875
0.855,0.865,0.863636363636364,0.856435643564356,0.863636363636364,0.855,0.85929648241206,0.5,0.4275,0.495,0.86
0.82,0.835,0.83248730964467,0.822660098522167,0.83248730964467,0.82,0.826196473551637,0.5,0.41,0.4925,0.8275
0.83,0.805,0.809756097560976,0.825641025641026,0.809756097560976,0.83,0.819753086419753,0.5,0.415,0.5125,0.8175
0.86,0.825,0.830917874396135,0.854922279792746,0.830917874396135,0.86,0.845208845208845,0.5,0.43,0.5175,0.8425
0.85,0.845,0.845771144278607,0.849246231155779,0.845771144278607,0.85,0.84788029925187,0.5,0.425,0.5025,0.8475
0.89,0.875,0.876847290640394,0.888324873096447,0.876847290640394,0.89,0.883374689826303,0.5,0.445,0.5075,0.8825
0.835,0.81,0.814634146341463,0.830769230769231,0.814634146341463,0.835,0.824691358024691,0.5,0.4175,0.5125,0.8225
0.865,0.835,0.839805825242718,0.860824742268041,0.839805825242718,0.865,0.852216748768473,0.5,0.4325,0.515,0.85
0.85,0.84,0.841584158415842,0.848484848484849,0.841584158415842,0.85,0.845771144278607,0.5,0.425,0.505,0.845
0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.5,0.405,0.5,0.81
0.83,0.84,0.838383838383838,0.831683168316832,0.838383838383838,0.83,0.834170854271357,0.5,0.415,0.495,0.835
0.855,0.87,0.868020304568528,0.857142857142857,0.868020304568528,0.855,0.861460957178841,0.5,0.4275,0.4925,0.8625
0.81,0.845,0.839378238341969,0.816425120772947,0.839378238341969,0.81,0.824427480916031,0.5,0.405,0.4825,0.8275
0.84,0.845,0.844221105527638,0.840796019900498,0.844221105527638,0.84,0.842105263157895,0.5,0.42,0.4975,0.8425
0.85,0.845,0.845771144278607,0.849246231155779,0.845771144278607,0.85,0.84788029925187,0.5,0.425,0.5025,0.8475
0.85,0.83,0.833333333333333,0.846938775510204,0.833333333333333,0.85,0.841584158415842,0.5,0.425,0.51,0.84
0.875,0.845,0.849514563106796,0.871134020618557,0.849514563106796,0.875,0.862068965517241,0.5,0.4375,0.515,0.86
0.83,0.85,0.846938775510204,0.833333333333333,0.846938775510204,0.83,0.838383838383838,0.5,0.415,0.49,0.84
0.86,0.855,0.855721393034826,0.85929648241206,0.855721393034826,0.86,0.85785536159601,0.5,0.43,0.5025,0.8575
0.895,0.89,0.890547263681592,0.894472361809045,0.890547263681592,0.895,0.892768079800499,0.5,0.4475,0.5025,0.8925
0.87,0.86,0.861386138613861,0.868686868686869,0.861386138613861,0.87,0.865671641791045,0.5,0.435,0.505,0.865
0.835,0.85,0.847715736040609,0.83743842364532,0.847715736040609,0.835,0.841309823677582,0.5,0.4175,0.4925,0.8425
0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.5,0.41,0.5,0.82
0.865,0.83,0.835748792270531,0.860103626943005,0.835748792270531,0.865,0.85012285012285,0.5,0.4325,0.5175,0.8475
0.87,0.86,0.861386138613861,0.868686868686869,0.861386138613861,0.87,0.865671641791045,0.5,0.435,0.505,0.865
0.865,0.84,0.84390243902439,0.861538461538461,0.84390243902439,0.865,0.854320987654321,0.5,0.4325,0.5125,0.8525
0.83,0.855,0.851282051282051,0.834146341463415,0.851282051282051,0.83,0.840506329113924,0.5,0.415,0.4875,0.8425
0.88,0.85,0.854368932038835,0.876288659793814,0.854368932038835,0.88,0.866995073891626,0.5,0.44,0.515,0.865
0.835,0.815,0.818627450980392,0.831632653061224,0.818627450980392,0.835,0.826732673267327,0.5,0.4175,0.51,0.825
0.83,0.845,0.842639593908629,0.832512315270936,0.842639593908629,0.83,0.836272040302267,0.5,0.415,0.4925,0.8375
0.845,0.84,0.840796019900498,0.844221105527638,0.840796019900497,0.845,0.8428927680798,0.5,0.4225,0.5025,0.8425
0.88,0.835,0.842105263157895,0.87434554973822,0.842105263157895,0.88,0.860635696821516,0.5,0.44,0.5225,0.8575
0.845,0.84,0.840796019900498,0.844221105527638,0.840796019900497,0.845,0.8428927680798,0.5,0.4225,0.5025,0.8425
0.82,0.84,0.836734693877551,0.823529411764706,0.836734693877551,0.82,0.828282828282828,0.5,0.41,0.49,0.83
0.86,0.865,0.864321608040201,0.860696517412935,0.864321608040201,0.86,0.862155388471178,0.5,0.43,0.4975,0.8625
0.83,0.845,0.842639593908629,0.832512315270936,0.842639593908629,0.83,0.836272040302267,0.5,0.415,0.4925,0.8375
0.855,0.855,0.855,0.855,0.855,0.855,0.855,0.5,0.4275,0.5,0.855
0.84,0.85,0.848484848484849,0.841584158415842,0.848484848484849,0.84,0.844221105527638,0.5,0.42,0.495,0.845
0.865,0.825,0.831730769230769,0.859375,0.831730769230769,0.865,0.848039215686274,0.5,0.4325,0.52,0.845
0.85,0.84,0.841584158415842,0.848484848484849,0.841584158415842,0.85,0.845771144278607,0.5,0.425,0.505,0.845
0.86,0.85,0.851485148514851,0.858585858585859,0.851485148514851,0.86,0.855721393034826,0.5,0.43,0.505,0.855
0.825,0.84,0.83756345177665,0.827586206896552,0.83756345177665,0.825,0.831234256926952,0.5,0.4125,0.4925,0.8325
0.875,0.855,0.857843137254902,0.872448979591837,0.857843137254902,0.875,0.866336633663366,0.5,0.4375,0.51,0.865
0.845,0.885,0.880208333333333,0.850961538461538,0.880208333333333,0.845,0.862244897959184,0.5,0.4225,0.48,0.865
0.8,0.81,0.808080808080808,0.801980198019802,0.808080808080808,0.8,0.804020100502513,0.5,0.4,0.495,0.805
0.845,0.855,0.853535353535353,0.846534653465347,0.853535353535353,0.845,0.849246231155779,0.5,0.4225,0.495,0.85
0.83,0.84,0.838383838383838,0.831683168316832,0.838383838383838,0.83,0.834170854271357,0.5,0.415,0.495,0.835
0.885,0.845,0.850961538461538,0.880208333333333,0.850961538461538,0.885,0.867647058823529,0.5,0.4425,0.52,0.865
0.87,0.855,0.857142857142857,0.868020304568528,0.857142857142857,0.87,0.863523573200992,0.5,0.435,0.5075,0.8625
0.815,0.82,0.819095477386935,0.81592039800995,0.819095477386935,0.815,0.817042606516291,0.5,0.4075,0.4975,0.8175
0.87,0.855,0.857142857142857,0.868020304568528,0.857142857142857,0.87,0.863523573200992,0.5,0.435,0.5075,0.8625
0.865,0.86,0.860696517412935,0.864321608040201,0.860696517412935,0.865,0.86284289276808,0.5,0.4325,0.5025,0.8625
