"Sensitivity","Specificity","Pos Pred Value","Neg Pred Value","Precision","Recall","F1","Prevalence","Detection Rate","Detection Prevalence","Balanced Accuracy","Accuracy","AIC","Converged","Test Accuracy"
0.980132450331126,0.973154362416107,0.973684210526316,0.97972972972973,0.973684210526316,0.980132450331126,0.976897689768977,0.503333333333333,0.493333333333333,0.506666666666667,0.976643406373617,0.976666666666667,273.560187848388,1,0.83
1,1,1,1,1,1,1,0.526666666666667,0.526666666666667,0.526666666666667,1,1,184.000000030117,0,0.65
0.863013698630137,0.88961038961039,0.881118881118881,0.872611464968153,0.881118881118881,0.863013698630137,0.8719723183391,0.486666666666667,0.42,0.476666666666667,0.876312044120263,0.876666666666667,2851.23035079467,0,0.75
1,1,1,1,1,1,1,0.473333333333333,0.473333333333333,0.473333333333333,1,1,184.000000206387,0,0.77
0.954248366013072,0.925170068027211,0.929936305732484,0.951048951048951,0.929936305732484,0.954248366013072,0.941935483870968,0.51,0.486666666666667,0.523333333333333,0.939709217020141,0.94,317.839618879832,1,0.71
1,1,1,1,1,1,1,0.48,0.48,0.48,1,1,184.000000041909,0,0.74
0.954248366013072,0.952380952380952,0.954248366013072,0.952380952380952,0.954248366013072,0.954248366013072,0.954248366013072,0.51,0.486666666666667,0.51,0.953314659197012,0.953333333333333,301.899253391751,1,0.71
1,1,1,1,1,1,1,0.51,0.51,0.51,1,1,184.000000095267,0,0.74
1,1,1,1,1,1,1,0.516666666666667,0.516666666666667,0.516666666666667,1,1,184.000000106681,0,0.68
1,1,1,1,1,1,1,0.5,0.5,0.5,1,1,184.000000639505,0,0.76
0.907284768211921,0.832214765100671,0.845679012345679,0.898550724637681,0.845679012345679,0.907284768211921,0.875399361022364,0.503333333333333,0.456666666666667,0.54,0.869749766656296,0.87,2995.40496435114,1,0.74
1,1,1,1,1,1,1,0.493333333333333,0.493333333333333,0.493333333333333,1,1,184.000000198409,0,0.79
0.927152317880795,0.906040268456376,0.909090909090909,0.924657534246575,0.909090909090909,0.927152317880795,0.918032786885246,0.503333333333333,0.466666666666667,0.513333333333333,0.916596293168585,0.916666666666667,316.983743549083,1,0.8
0.912162162162162,0.927631578947368,0.924657534246575,0.915584415584416,0.924657534246575,0.912162162162162,0.918367346938776,0.493333333333333,0.45,0.486666666666667,0.919896870554765,0.92,299.644476346067,1,0.7
0.924657534246575,0.915584415584416,0.912162162162162,0.927631578947368,0.912162162162162,0.924657534246575,0.918367346938776,0.486666666666667,0.45,0.493333333333333,0.920120974915495,0.92,315.507615312834,1,0.78
1,1,1,1,1,1,1,0.476666666666667,0.476666666666667,0.476666666666667,1,1,184.000000030591,0,0.76
1,1,1,1,1,1,1,0.5,0.5,0.5,1,1,184.000000158195,0,0.73
0.895424836601307,0.857142857142857,0.867088607594937,0.887323943661972,0.867088607594937,0.895424836601307,0.881028938906752,0.51,0.456666666666667,0.526666666666667,0.876283846872082,0.876666666666667,2851.23035079467,1,0.75
0.96078431372549,0.91156462585034,0.91875,0.957142857142857,0.91875,0.96078431372549,0.939297124600639,0.51,0.49,0.533333333333333,0.936174469787915,0.936666666666667,310.610033932772,1,0.7
