"Test-Sensitivity","Test-Specificity","Test-Pos Pred Value","Test-Neg Pred Value","Test-Precision","Test-Recall","Test-F1","Test-Prevalence","Test-Detection Rate","Test-Detection Prevalence","Test-Balanced Accuracy","Test-Accuracy"
0.775510204081633,0.725490196078431,0.730769230769231,0.770833333333333,0.730769230769231,0.775510204081633,0.752475247524752,0.49,0.38,0.52,0.750500200080032,0.75
0.692307692307692,0.6875,0.705882352941176,0.673469387755102,0.705882352941177,0.692307692307692,0.699029126213592,0.52,0.36,0.51,0.689903846153846,0.69
0.740740740740741,0.782608695652174,0.8,0.72,0.8,0.740740740740741,0.769230769230769,0.54,0.4,0.5,0.761674718196457,0.76
0.890909090909091,0.555555555555556,0.710144927536232,0.806451612903226,0.710144927536232,0.890909090909091,0.790322580645161,0.55,0.49,0.69,0.723232323232323,0.74
0.847826086956522,0.740740740740741,0.735849056603774,0.851063829787234,0.735849056603774,0.847826086956522,0.787878787878788,0.46,0.39,0.53,0.794283413848631,0.79
0.816326530612245,0.803921568627451,0.8,0.82,0.8,0.816326530612245,0.808080808080808,0.49,0.4,0.5,0.810124049619848,0.81
0.765957446808511,0.754716981132076,0.73469387755102,0.784313725490196,0.73469387755102,0.765957446808511,0.75,0.47,0.36,0.49,0.760337213970293,0.76
0.791666666666667,0.673076923076923,0.690909090909091,0.777777777777778,0.690909090909091,0.791666666666667,0.737864077669903,0.48,0.38,0.55,0.732371794871795,0.73
0.767857142857143,0.681818181818182,0.754385964912281,0.697674418604651,0.754385964912281,0.767857142857143,0.761061946902655,0.56,0.43,0.57,0.724837662337662,0.73
0.740740740740741,0.652173913043478,0.714285714285714,0.681818181818182,0.714285714285714,0.740740740740741,0.727272727272727,0.54,0.4,0.56,0.696457326892109,0.7
0.893617021276596,0.773584905660377,0.777777777777778,0.891304347826087,0.777777777777778,0.893617021276596,0.831683168316832,0.47,0.42,0.54,0.833600963468487,0.83
0.784313725490196,0.693877551020408,0.727272727272727,0.755555555555556,0.727272727272727,0.784313725490196,0.754716981132075,0.51,0.4,0.55,0.739095638255302,0.74
0.8,0.64,0.689655172413793,0.761904761904762,0.689655172413793,0.8,0.740740740740741,0.5,0.4,0.58,0.72,0.72
0.807692307692308,0.708333333333333,0.75,0.772727272727273,0.75,0.807692307692308,0.777777777777778,0.52,0.42,0.56,0.75801282051282,0.76
0.808510638297872,0.660377358490566,0.678571428571429,0.795454545454545,0.678571428571429,0.808510638297872,0.737864077669903,0.47,0.38,0.56,0.734443998394219,0.73
0.803921568627451,0.693877551020408,0.732142857142857,0.772727272727273,0.732142857142857,0.803921568627451,0.766355140186916,0.51,0.41,0.56,0.74889955982393,0.75
0.833333333333333,0.672413793103448,0.648148148148148,0.847826086956522,0.648148148148148,0.833333333333333,0.729166666666667,0.42,0.35,0.54,0.752873563218391,0.74
0.88,0.76,0.785714285714286,0.863636363636364,0.785714285714286,0.88,0.830188679245283,0.5,0.44,0.56,0.82,0.82
0.789473684210526,0.674418604651163,0.76271186440678,0.707317073170732,0.76271186440678,0.789473684210526,0.775862068965517,0.57,0.45,0.59,0.731946144430845,0.74
0.764705882352941,0.775510204081633,0.78,0.76,0.78,0.764705882352941,0.772277227722772,0.51,0.39,0.5,0.770108043217287,0.77
0.823529411764706,0.795918367346939,0.807692307692308,0.8125,0.807692307692308,0.823529411764706,0.815533980582524,0.51,0.42,0.52,0.809723889555822,0.81
0.666666666666667,0.769230769230769,0.727272727272727,0.714285714285714,0.727272727272727,0.666666666666667,0.695652173913043,0.48,0.32,0.44,0.717948717948718,0.72
0.862745098039216,0.73469387755102,0.771929824561404,0.837209302325581,0.771929824561403,0.862745098039216,0.814814814814815,0.51,0.44,0.57,0.798719487795118,0.8
0.804347826086957,0.722222222222222,0.711538461538462,0.8125,0.711538461538462,0.804347826086957,0.755102040816326,0.46,0.37,0.52,0.763285024154589,0.76
0.804878048780488,0.728813559322034,0.673469387755102,0.843137254901961,0.673469387755102,0.804878048780488,0.733333333333333,0.41,0.33,0.49,0.766845804051261,0.76
0.765957446808511,0.69811320754717,0.692307692307692,0.770833333333333,0.692307692307692,0.765957446808511,0.727272727272727,0.47,0.36,0.52,0.73203532717784,0.73
0.902439024390244,0.644067796610169,0.637931034482759,0.904761904761905,0.637931034482759,0.902439024390244,0.747474747474747,0.41,0.37,0.58,0.773253410500207,0.75
0.888888888888889,0.673913043478261,0.761904761904762,0.837837837837838,0.761904761904762,0.888888888888889,0.82051282051282,0.54,0.48,0.63,0.781400966183575,0.79
0.759259259259259,0.717391304347826,0.759259259259259,0.717391304347826,0.759259259259259,0.759259259259259,0.759259259259259,0.54,0.41,0.54,0.738325281803543,0.74
0.854166666666667,0.711538461538462,0.732142857142857,0.840909090909091,0.732142857142857,0.854166666666667,0.788461538461538,0.48,0.41,0.56,0.782852564102564,0.78
0.857142857142857,0.725490196078431,0.75,0.840909090909091,0.75,0.857142857142857,0.8,0.49,0.42,0.56,0.791316526610644,0.79
0.765957446808511,0.660377358490566,0.666666666666667,0.760869565217391,0.666666666666667,0.765957446808511,0.712871287128713,0.47,0.36,0.54,0.713167402649538,0.71
0.811320754716981,0.851063829787234,0.86,0.8,0.86,0.811320754716981,0.83495145631068,0.53,0.43,0.5,0.831192292252108,0.83
0.784313725490196,0.693877551020408,0.727272727272727,0.755555555555556,0.727272727272727,0.784313725490196,0.754716981132075,0.51,0.4,0.55,0.739095638255302,0.74
0.868421052631579,0.725806451612903,0.66,0.9,0.66,0.868421052631579,0.75,0.38,0.33,0.5,0.797113752122241,0.78
0.686274509803922,0.673469387755102,0.686274509803922,0.673469387755102,0.686274509803922,0.686274509803922,0.686274509803922,0.51,0.35,0.51,0.679871948779512,0.68
