"Test-Sensitivity","Test-Specificity","Test-Pos Pred Value","Test-Neg Pred Value","Test-Precision","Test-Recall","Test-F1","Test-Prevalence","Test-Detection Rate","Test-Detection Prevalence","Test-Balanced Accuracy","Test-Accuracy"
0.630769230769231,0.885714285714286,0.911111111111111,0.563636363636364,0.911111111111111,0.630769230769231,0.745454545454545,0.65,0.41,0.45,0.758241758241758,0.72
0.642857142857143,0.827586206896552,0.72972972972973,0.761904761904762,0.72972972972973,0.642857142857143,0.683544303797468,0.42,0.27,0.37,0.735221674876847,0.75
0.839285714285714,0.772727272727273,0.824561403508772,0.790697674418605,0.824561403508772,0.839285714285714,0.831858407079646,0.56,0.47,0.57,0.806006493506493,0.81
0.760869565217391,0.703703703703704,0.686274509803922,0.775510204081633,0.686274509803922,0.760869565217391,0.721649484536083,0.46,0.35,0.51,0.732286634460548,0.73
0.755102040816326,0.647058823529412,0.672727272727273,0.733333333333333,0.672727272727273,0.755102040816326,0.711538461538462,0.49,0.37,0.55,0.701080432172869,0.7
0.833333333333333,0.603448275862069,0.603448275862069,0.833333333333333,0.603448275862069,0.833333333333333,0.7,0.42,0.35,0.58,0.718390804597701,0.7
0.72,0.7,0.705882352941176,0.714285714285714,0.705882352941177,0.72,0.712871287128713,0.5,0.36,0.51,0.71,0.71
0.660714285714286,0.75,0.770833333333333,0.634615384615384,0.770833333333333,0.660714285714286,0.711538461538462,0.56,0.37,0.48,0.705357142857143,0.7
0.66,0.82,0.785714285714286,0.706896551724138,0.785714285714286,0.66,0.717391304347826,0.5,0.33,0.42,0.74,0.74
0.714285714285714,0.681818181818182,0.740740740740741,0.652173913043478,0.740740740740741,0.714285714285714,0.727272727272727,0.56,0.4,0.54,0.698051948051948,0.7
0.811320754716981,0.723404255319149,0.767857142857143,0.772727272727273,0.767857142857143,0.811320754716981,0.788990825688074,0.53,0.43,0.56,0.767362505018065,0.77
0.807017543859649,0.674418604651163,0.766666666666667,0.725,0.766666666666667,0.807017543859649,0.786324786324786,0.57,0.46,0.6,0.740718074255406,0.75
0.703703703703704,0.717391304347826,0.745098039215686,0.673469387755102,0.745098039215686,0.703703703703704,0.723809523809524,0.54,0.38,0.51,0.710547504025765,0.71
0.717391304347826,0.592592592592593,0.6,0.711111111111111,0.6,0.717391304347826,0.653465346534653,0.46,0.33,0.55,0.654991948470209,0.65
0.760869565217391,0.685185185185185,0.673076923076923,0.770833333333333,0.673076923076923,0.760869565217391,0.714285714285714,0.46,0.35,0.52,0.723027375201288,0.72
0.711538461538462,0.729166666666667,0.74,0.7,0.74,0.711538461538462,0.725490196078431,0.52,0.37,0.5,0.720352564102564,0.72
0.784313725490196,0.510204081632653,0.625,0.694444444444444,0.625,0.784313725490196,0.695652173913043,0.51,0.4,0.64,0.647258903561425,0.65
0.754716981132076,0.659574468085106,0.714285714285714,0.704545454545454,0.714285714285714,0.754716981132076,0.733944954128441,0.53,0.4,0.56,0.707145724608591,0.71
0.732142857142857,0.704545454545455,0.759259259259259,0.673913043478261,0.759259259259259,0.732142857142857,0.745454545454545,0.56,0.41,0.54,0.718344155844156,0.72
0.826086956521739,0.703703703703704,0.703703703703704,0.826086956521739,0.703703703703704,0.826086956521739,0.76,0.46,0.38,0.54,0.764895330112721,0.76
0.725490196078431,0.591836734693878,0.649122807017544,0.674418604651163,0.649122807017544,0.725490196078431,0.685185185185185,0.51,0.37,0.57,0.658663465386155,0.66
0.823529411764706,0.714285714285714,0.75,0.795454545454545,0.75,0.823529411764706,0.785046728971963,0.51,0.42,0.56,0.76890756302521,0.77
0.847826086956522,0.574074074074074,0.629032258064516,0.815789473684211,0.629032258064516,0.847826086956522,0.722222222222222,0.46,0.39,0.62,0.710950080515298,0.7
0.771929824561403,0.744186046511628,0.8,0.711111111111111,0.8,0.771929824561403,0.785714285714286,0.57,0.44,0.55,0.758057935536516,0.76
0.74,0.7,0.711538461538461,0.729166666666667,0.711538461538462,0.74,0.725490196078431,0.5,0.37,0.52,0.72,0.72
0.767441860465116,0.701754385964912,0.66,0.8,0.66,0.767441860465116,0.709677419354839,0.43,0.33,0.5,0.734598123215014,0.73
0.661290322580645,0.684210526315789,0.773584905660377,0.553191489361702,0.773584905660377,0.661290322580645,0.71304347826087,0.62,0.41,0.53,0.672750424448217,0.67
0.653846153846154,0.75,0.739130434782609,0.666666666666667,0.739130434782609,0.653846153846154,0.693877551020408,0.52,0.34,0.46,0.701923076923077,0.7
0.76,0.84,0.826086956521739,0.777777777777778,0.826086956521739,0.76,0.791666666666667,0.5,0.38,0.46,0.8,0.8
0.722222222222222,0.804347826086957,0.8125,0.711538461538461,0.8125,0.722222222222222,0.764705882352941,0.54,0.39,0.48,0.763285024154589,0.76
0.875,0.711538461538462,0.736842105263158,0.86046511627907,0.736842105263158,0.875,0.8,0.48,0.42,0.57,0.793269230769231,0.79
0.72,0.78,0.765957446808511,0.735849056603774,0.765957446808511,0.72,0.742268041237113,0.5,0.36,0.47,0.75,0.75
0.714285714285714,0.647058823529412,0.660377358490566,0.702127659574468,0.660377358490566,0.714285714285714,0.686274509803922,0.49,0.35,0.53,0.680672268907563,0.68
0.714285714285714,0.666666666666667,0.673076923076923,0.708333333333333,0.673076923076923,0.714285714285714,0.693069306930693,0.49,0.35,0.52,0.69047619047619,0.69
0.772727272727273,0.642857142857143,0.62962962962963,0.782608695652174,0.62962962962963,0.772727272727273,0.693877551020408,0.44,0.34,0.54,0.707792207792208,0.7
0.88,0.6,0.6875,0.833333333333333,0.6875,0.88,0.771929824561404,0.5,0.44,0.64,0.74,0.74
0.711111111111111,0.709090909090909,0.666666666666667,0.75,0.666666666666667,0.711111111111111,0.688172043010753,0.45,0.32,0.48,0.71010101010101,0.71
0.823529411764706,0.693877551020408,0.736842105263158,0.790697674418605,0.736842105263158,0.823529411764706,0.777777777777778,0.51,0.42,0.57,0.758703481392557,0.76
0.815789473684211,0.548387096774194,0.525423728813559,0.829268292682927,0.525423728813559,0.815789473684211,0.639175257731959,0.38,0.31,0.59,0.682088285229202,0.65
0.685185185185185,0.717391304347826,0.74,0.66,0.74,0.685185185185185,0.711538461538461,0.54,0.37,0.5,0.701288244766506,0.7
0.75,0.714285714285714,0.673469387755102,0.784313725490196,0.673469387755102,0.75,0.709677419354839,0.44,0.33,0.49,0.732142857142857,0.73
0.76,0.74,0.745098039215686,0.755102040816326,0.745098039215686,0.76,0.752475247524752,0.5,0.38,0.51,0.75,0.75
0.765957446808511,0.773584905660377,0.75,0.788461538461539,0.75,0.765957446808511,0.757894736842105,0.47,0.36,0.48,0.769771176234444,0.77
0.769230769230769,0.729166666666667,0.754716981132076,0.74468085106383,0.754716981132076,0.769230769230769,0.761904761904762,0.52,0.4,0.53,0.749198717948718,0.75
0.814814814814815,0.608695652173913,0.709677419354839,0.736842105263158,0.709677419354839,0.814814814814815,0.758620689655172,0.54,0.44,0.62,0.711755233494364,0.72
0.770833333333333,0.673076923076923,0.685185185185185,0.760869565217391,0.685185185185185,0.770833333333333,0.725490196078431,0.48,0.37,0.54,0.721955128205128,0.72
0.792452830188679,0.659574468085106,0.724137931034483,0.738095238095238,0.724137931034483,0.792452830188679,0.756756756756757,0.53,0.42,0.58,0.726013649136893,0.73
0.829787234042553,0.660377358490566,0.684210526315789,0.813953488372093,0.684210526315789,0.829787234042553,0.75,0.47,0.39,0.57,0.74508229626656,0.74
0.843137254901961,0.63265306122449,0.704918032786885,0.794871794871795,0.704918032786885,0.843137254901961,0.767857142857143,0.51,0.43,0.61,0.737895158063225,0.74
0.822222222222222,0.727272727272727,0.711538461538461,0.833333333333333,0.711538461538462,0.822222222222222,0.762886597938144,0.45,0.37,0.52,0.774747474747475,0.77
0.770833333333333,0.769230769230769,0.755102040816326,0.784313725490196,0.755102040816326,0.770833333333333,0.762886597938144,0.48,0.37,0.49,0.770032051282051,0.77
0.625,0.807692307692308,0.75,0.7,0.75,0.625,0.681818181818182,0.48,0.3,0.4,0.716346153846154,0.72
0.8125,0.730769230769231,0.735849056603774,0.808510638297872,0.735849056603774,0.8125,0.772277227722772,0.48,0.39,0.53,0.771634615384615,0.77
0.872340425531915,0.754716981132076,0.759259259259259,0.869565217391304,0.759259259259259,0.872340425531915,0.811881188118812,0.47,0.41,0.54,0.813528703331995,0.81
0.488888888888889,0.818181818181818,0.6875,0.661764705882353,0.6875,0.488888888888889,0.571428571428571,0.45,0.22,0.32,0.653535353535354,0.67
