"Sensitivity","Specificity","Pos Pred Value","Neg Pred Value","Precision","Recall","F1","Prevalence","Detection Rate","Detection Prevalence","Balanced Accuracy","Accuracy","AIC","Converged","Test Accuracy"
1,1,1,1,1,1,1,0.493333333333333,0.493333333333333,0.493333333333333,1,1,184.000000903487,0,0.73
0.899328859060403,0.860927152317881,0.864516129032258,0.896551724137931,0.864516129032258,0.899328859060403,0.881578947368421,0.496666666666667,0.446666666666667,0.516666666666667,0.880128005689142,0.88,2779.14304401644,1,0.66
0.875,0.852564102564103,0.845637583892617,0.880794701986755,0.845637583892617,0.875,0.860068259385666,0.48,0.42,0.496666666666667,0.863782051282051,0.863333333333333,3139.57957790761,1,0.71
1,1,1,1,1,1,1,0.526666666666667,0.526666666666667,0.526666666666667,1,1,184.000000057716,0,0.79
0.966216216216216,0.960526315789474,0.959731543624161,0.966887417218543,0.959731543624161,0.966216216216216,0.962962962962963,0.493333333333333,0.476666666666667,0.496666666666667,0.963371266002845,0.963333333333333,287.505710121052,1,0.76
0.883561643835616,0.876623376623377,0.871621621621622,0.888157894736842,0.871621621621622,0.883561643835616,0.877551020408163,0.486666666666667,0.43,0.493333333333333,0.880092510229497,0.88,2779.14304401644,0,0.71
0.889655172413793,0.883870967741936,0.877551020408163,0.895424836601307,0.877551020408163,0.889655172413793,0.883561643835616,0.483333333333333,0.43,0.49,0.886763070077864,0.886666666666667,2634.96843045997,0,0.72
0.881118881118881,0.847133757961783,0.84,0.886666666666667,0.84,0.881118881118881,0.860068259385665,0.476666666666667,0.42,0.5,0.864126319540332,0.863333333333333,3139.57957790761,0,0.71
0.888157894736842,0.885135135135135,0.888157894736842,0.885135135135135,0.888157894736842,0.888157894736842,0.888157894736842,0.506666666666667,0.45,0.506666666666667,0.886646514935989,0.886666666666667,353.088314833252,1,0.71
0.913333333333333,0.906666666666667,0.90728476821192,0.912751677852349,0.907284768211921,0.913333333333333,0.910299003322259,0.5,0.456666666666667,0.503333333333333,0.91,0.91,326.059821682742,1,0.74
1,1,1,1,1,1,1,0.503333333333333,0.503333333333333,0.503333333333333,1,1,184.000000093429,0,0.77
1,1,1,1,1,1,1,0.476666666666667,0.476666666666667,0.476666666666667,1,1,184.000000251552,0,0.74
1,1,1,1,1,1,1,0.503333333333333,0.503333333333333,0.503333333333333,1,1,184.000000072115,0,0.75
0.931034482758621,0.929032258064516,0.924657534246575,0.935064935064935,0.924657534246575,0.931034482758621,0.927835051546392,0.483333333333333,0.45,0.486666666666667,0.930033370411568,0.93,291.249712028831,1,0.8
0.932432432432432,0.888157894736842,0.890322580645161,0.931034482758621,0.890322580645161,0.932432432432432,0.910891089108911,0.493333333333333,0.46,0.516666666666667,0.910295163584637,0.91,365.401311628512,1,0.79
0.936708860759494,0.943661971830986,0.948717948717949,0.930555555555556,0.948717948717949,0.936708860759494,0.942675159235669,0.526666666666667,0.493333333333333,0.52,0.94018541629524,0.94,299.625143680845,1,0.76
1,1,1,1,1,1,1,0.493333333333333,0.493333333333333,0.493333333333333,1,1,184.000000152045,0,0.78
1,1,1,1,1,1,1,0.5,0.5,0.5,1,1,184.00000006776,0,0.76
1,1,1,1,1,1,1,0.48,0.48,0.48,1,1,184.000000089987,0,0.7
1,1,1,1,1,1,1,0.516666666666667,0.516666666666667,0.516666666666667,1,1,184.000000197736,0,0.75
1,1,1,1,1,1,1,0.513333333333333,0.513333333333333,0.513333333333333,1,1,184.000000130249,0,0.7
1,1,1,1,1,1,1,0.506666666666667,0.506666666666667,0.506666666666667,1,1,184.000000078503,0,0.74
1,1,1,1,1,1,1,0.51,0.51,0.51,1,1,184.00000010673,0,0.75
1,1,1,1,1,1,1,0.49,0.49,0.49,1,1,184.000000309084,0,0.75
0.95679012345679,0.963768115942029,0.96875,0.95,0.96875,0.95679012345679,0.962732919254658,0.54,0.516666666666667,0.533333333333333,0.96027911969941,0.96,270.394646112786,1,0.77
0.940397350993378,0.919463087248322,0.922077922077922,0.938356164383562,0.922077922077922,0.940397350993378,0.931147540983607,0.503333333333333,0.473333333333333,0.513333333333333,0.92993021912085,0.93,322.610190411342,1,0.82
0.960526315789474,0.966216216216216,0.966887417218543,0.959731543624161,0.966887417218543,0.960526315789474,0.963696369636964,0.506666666666667,0.486666666666667,0.503333333333333,0.963371266002845,0.963333333333333,282.430780182542,1,0.78
0.826923076923077,0.902777777777778,0.902097902097902,0.828025477707006,0.902097902097902,0.826923076923077,0.862876254180602,0.52,0.43,0.476666666666667,0.864850427350427,0.863333333333333,3139.57957790761,1,0.76
0.915492957746479,0.917721518987342,0.909090909090909,0.923566878980892,0.909090909090909,0.915492957746479,0.912280701754386,0.473333333333333,0.433333333333333,0.476666666666667,0.91660723836691,0.916666666666667,324.176104156768,1,0.71
0.918367346938776,0.915032679738562,0.912162162162162,0.921052631578947,0.912162162162162,0.918367346938776,0.915254237288136,0.49,0.45,0.493333333333333,0.916700013338669,0.916666666666667,1986.18266945586,0,0.77
1,1,1,1,1,1,1,0.523333333333333,0.523333333333333,0.523333333333333,1,1,184.000000128879,0,0.73
0.926174496644295,0.874172185430464,0.878980891719745,0.923076923076923,0.878980891719745,0.926174496644295,0.901960784313726,0.496666666666667,0.46,0.523333333333333,0.900173341037379,0.9,360.238183512944,1,0.72
0.929078014184397,0.924528301886792,0.916083916083916,0.936305732484076,0.916083916083916,0.929078014184397,0.922535211267606,0.47,0.436666666666667,0.476666666666667,0.926803158035595,0.926666666666667,297.042715709198,1,0.73
0.941176470588235,0.965986394557823,0.966442953020134,0.940397350993378,0.966442953020134,0.941176470588235,0.95364238410596,0.51,0.48,0.496666666666667,0.953581432573029,0.953333333333333,281.655900085881,1,0.67
1,1,1,1,1,1,1,0.5,0.5,0.5,1,1,184.000003093444,0,0.82
1,1,1,1,1,1,1,0.48,0.48,0.48,1,1,184.000000095658,0,0.78
0.857142857142857,0.915032679738562,0.906474820143885,0.869565217391304,0.906474820143885,0.857142857142857,0.881118881118881,0.49,0.42,0.463333333333333,0.88608776844071,0.886666666666667,2634.96843045997,1,0.73
0.926666666666667,0.886666666666667,0.891025641025641,0.923611111111111,0.891025641025641,0.926666666666667,0.908496732026144,0.5,0.463333333333333,0.52,0.906666666666667,0.906666666666667,2202.44458979056,1,0.71
1,1,1,1,1,1,1,0.49,0.49,0.49,1,1,184.000000269502,0,0.8
1,1,1,1,1,1,1,0.51,0.51,0.51,1,1,184.000000128774,0,0.78
0.906666666666667,0.933333333333333,0.931506849315069,0.909090909090909,0.931506849315068,0.906666666666667,0.918918918918919,0.5,0.453333333333333,0.486666666666667,0.92,0.92,1914.09536267762,1,0.71
0.907894736842105,0.898648648648649,0.901960784313726,0.904761904761905,0.901960784313726,0.907894736842105,0.904918032786885,0.506666666666667,0.46,0.51,0.903271692745377,0.903333333333333,356.461149870728,1,0.84
0.879194630872483,0.860927152317881,0.861842105263158,0.878378378378378,0.861842105263158,0.879194630872483,0.870431893687707,0.496666666666667,0.436666666666667,0.506666666666667,0.870060891595182,0.87,2995.40496435114,1,0.76
0.848275862068966,0.858064516129032,0.848275862068965,0.858064516129032,0.848275862068966,0.848275862068966,0.848275862068966,0.483333333333333,0.41,0.483333333333333,0.853170189098999,0.853333333333333,3355.84149824231,1,0.72
0.896103896103896,0.883561643835616,0.890322580645161,0.889655172413793,0.890322580645161,0.896103896103896,0.893203883495146,0.513333333333333,0.46,0.516666666666667,0.889832769969756,0.89,314.831332001461,1,0.65
1,1,1,1,1,1,1,0.47,0.47,0.47,1,1,184.000000043585,0,0.69
0.863636363636364,0.808219178082192,0.826086956521739,0.848920863309353,0.826086956521739,0.863636363636364,0.844444444444444,0.513333333333333,0.443333333333333,0.536666666666667,0.835927770859278,0.836666666666667,3716.27803213348,1,0.73
0.94,0.92,0.92156862745098,0.938775510204082,0.92156862745098,0.94,0.930693069306931,0.5,0.47,0.51,0.93,0.93,312.986764943824,1,0.69
0.87741935483871,0.862068965517241,0.871794871794872,0.868055555555556,0.871794871794872,0.87741935483871,0.87459807073955,0.516666666666667,0.453333333333333,0.52,0.869744160177976,0.87,2995.40496435114,1,0.7
1,1,1,1,1,1,1,0.506666666666667,0.506666666666667,0.506666666666667,1,1,184.000000042885,0,0.74
0.936708860759494,0.887323943661972,0.902439024390244,0.926470588235294,0.902439024390244,0.936708860759494,0.919254658385093,0.526666666666667,0.493333333333333,0.546666666666667,0.912016402210733,0.913333333333333,316.656141065722,1,0.7
0.895424836601307,0.884353741496599,0.88961038961039,0.89041095890411,0.88961038961039,0.895424836601307,0.892508143322476,0.51,0.456666666666667,0.513333333333333,0.889889289048953,0.89,2562.88112368173,1,0.74
0.930555555555556,0.91025641025641,0.905405405405405,0.93421052631579,0.905405405405405,0.930555555555556,0.917808219178082,0.48,0.446666666666667,0.493333333333333,0.920405982905983,0.92,316.859371858515,1,0.73
0.940789473684211,0.925675675675676,0.928571428571429,0.938356164383562,0.928571428571429,0.940789473684211,0.934640522875817,0.506666666666667,0.476666666666667,0.513333333333333,0.933232574679943,0.933333333333333,314.211073031863,1,0.84
0.925,0.871428571428571,0.891566265060241,0.91044776119403,0.891566265060241,0.925,0.907975460122699,0.533333333333333,0.493333333333333,0.553333333333333,0.898214285714286,0.9,357.536665464442,1,0.75
0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.5,0.49,0.5,0.98,0.98,262.264611934998,1,0.72
1,1,1,1,1,1,1,0.516666666666667,0.516666666666667,0.516666666666667,1,1,184.000000274098,0,0.79
0.936305732484076,0.93006993006993,0.936305732484076,0.93006993006993,0.936305732484076,0.936305732484076,0.936305732484076,0.523333333333333,0.49,0.523333333333333,0.933187831277003,0.933333333333333,293.889328202276,1,0.73
