"Test-Sensitivity","Test-Specificity","Test-Pos Pred Value","Test-Neg Pred Value","Test-Precision","Test-Recall","Test-F1","Test-Prevalence","Test-Detection Rate","Test-Detection Prevalence","Test-Balanced Accuracy","Test-Accuracy"
0.94,0.68,0.746031746031746,0.918918918918919,0.746031746031746,0.94,0.831858407079646,0.5,0.47,0.63,0.81,0.81
0.875,0.673076923076923,0.711864406779661,0.853658536585366,0.711864406779661,0.875,0.785046728971963,0.48,0.42,0.59,0.774038461538462,0.77
0.755102040816326,0.607843137254902,0.649122807017544,0.720930232558139,0.649122807017544,0.755102040816326,0.69811320754717,0.49,0.37,0.57,0.681472589035614,0.68
0.666666666666667,0.790697674418605,0.808510638297872,0.641509433962264,0.808510638297872,0.666666666666667,0.730769230769231,0.57,0.38,0.47,0.728682170542636,0.72
0.843137254901961,0.673469387755102,0.728813559322034,0.804878048780488,0.728813559322034,0.843137254901961,0.781818181818182,0.51,0.43,0.59,0.758303321328531,0.76
0.8125,0.788461538461538,0.78,0.82,0.78,0.8125,0.795918367346939,0.48,0.39,0.5,0.800480769230769,0.8
0.75,0.730769230769231,0.72,0.76,0.72,0.75,0.73469387755102,0.48,0.36,0.5,0.740384615384615,0.74
0.880952380952381,0.603448275862069,0.616666666666667,0.875,0.616666666666667,0.880952380952381,0.725490196078431,0.42,0.37,0.6,0.742200328407225,0.72
0.923076923076923,0.6875,0.761904761904762,0.891891891891892,0.761904761904762,0.923076923076923,0.834782608695652,0.52,0.48,0.63,0.805288461538462,0.81
0.727272727272727,0.589285714285714,0.581818181818182,0.733333333333333,0.581818181818182,0.727272727272727,0.646464646464646,0.44,0.32,0.55,0.658279220779221,0.65
0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.5,0.38,0.5,0.76,0.76
0.8,0.74,0.754716981132076,0.787234042553192,0.754716981132076,0.8,0.776699029126214,0.5,0.4,0.53,0.77,0.77
0.764705882352941,0.755102040816326,0.764705882352941,0.755102040816326,0.764705882352941,0.764705882352941,0.764705882352941,0.51,0.39,0.51,0.759903961584634,0.76
0.740740740740741,0.652173913043478,0.714285714285714,0.681818181818182,0.714285714285714,0.740740740740741,0.727272727272727,0.54,0.4,0.56,0.696457326892109,0.7
0.87719298245614,0.767441860465116,0.833333333333333,0.825,0.833333333333333,0.87719298245614,0.854700854700855,0.57,0.5,0.6,0.822317421460628,0.83
0.769230769230769,0.645833333333333,0.701754385964912,0.72093023255814,0.701754385964912,0.769230769230769,0.73394495412844,0.52,0.4,0.57,0.707532051282051,0.71
0.773584905660377,0.680851063829787,0.732142857142857,0.727272727272727,0.732142857142857,0.773584905660377,0.752293577981651,0.53,0.41,0.56,0.727217984745082,0.73
0.770833333333333,0.730769230769231,0.725490196078431,0.775510204081633,0.725490196078431,0.770833333333333,0.747474747474748,0.48,0.37,0.51,0.750801282051282,0.75
0.804347826086957,0.685185185185185,0.685185185185185,0.804347826086957,0.685185185185185,0.804347826086957,0.74,0.46,0.37,0.54,0.744766505636071,0.74
0.793103448275862,0.785714285714286,0.836363636363636,0.733333333333333,0.836363636363636,0.793103448275862,0.814159292035398,0.58,0.46,0.55,0.789408866995074,0.79
0.84,0.64,0.7,0.8,0.7,0.84,0.763636363636364,0.5,0.42,0.6,0.74,0.74
0.764705882352941,0.693877551020408,0.722222222222222,0.739130434782609,0.722222222222222,0.764705882352941,0.742857142857143,0.51,0.39,0.54,0.729291716686675,0.73
0.745098039215686,0.653061224489796,0.690909090909091,0.711111111111111,0.690909090909091,0.745098039215686,0.716981132075472,0.51,0.38,0.55,0.699079631852741,0.7
0.735849056603774,0.765957446808511,0.78,0.72,0.78,0.735849056603774,0.757281553398058,0.53,0.39,0.5,0.750903251706142,0.75
0.901960784313726,0.653061224489796,0.73015873015873,0.864864864864865,0.73015873015873,0.901960784313726,0.807017543859649,0.51,0.46,0.63,0.777511004401761,0.78
0.86,0.62,0.693548387096774,0.815789473684211,0.693548387096774,0.86,0.767857142857143,0.5,0.43,0.62,0.74,0.74
0.724137931034483,0.642857142857143,0.736842105263158,0.627906976744186,0.736842105263158,0.724137931034483,0.730434782608696,0.58,0.42,0.57,0.683497536945813,0.69
0.833333333333333,0.692307692307692,0.714285714285714,0.818181818181818,0.714285714285714,0.833333333333333,0.769230769230769,0.48,0.4,0.56,0.762820512820513,0.76
0.833333333333333,0.596153846153846,0.655737704918033,0.794871794871795,0.655737704918033,0.833333333333333,0.73394495412844,0.48,0.4,0.61,0.71474358974359,0.71
0.740740740740741,0.760869565217391,0.784313725490196,0.714285714285714,0.784313725490196,0.740740740740741,0.761904761904762,0.54,0.4,0.51,0.750805152979066,0.75
0.8,0.64,0.689655172413793,0.761904761904762,0.689655172413793,0.8,0.740740740740741,0.5,0.4,0.58,0.72,0.72
0.877551020408163,0.705882352941177,0.741379310344828,0.857142857142857,0.741379310344828,0.877551020408163,0.803738317757009,0.49,0.43,0.58,0.79171668667467,0.79
0.875,0.659090909090909,0.765625,0.805555555555555,0.765625,0.875,0.816666666666667,0.56,0.49,0.64,0.767045454545455,0.78
0.884615384615385,0.708333333333333,0.766666666666667,0.85,0.766666666666667,0.884615384615385,0.821428571428572,0.52,0.46,0.6,0.796474358974359,0.8
0.773584905660377,0.595744680851064,0.683333333333333,0.7,0.683333333333333,0.773584905660377,0.725663716814159,0.53,0.41,0.6,0.684664793255721,0.69
