"Sensitivity","Specificity","Pos Pred Value","Neg Pred Value","Precision","Recall","F1","Prevalence","Detection Rate","Detection Prevalence","Balanced Accuracy","Accuracy","AIC","Converged"
0.91,0.89,0.892156862745098,0.908163265306122,0.892156862745098,0.91,0.900990099009901,0.5,0.455,0.51,0.9,0.9,393.432551536462,1
0.905,0.905,0.905,0.905,0.905,0.905,0.905,0.5,0.4525,0.5,0.905,0.905,411.534924509596,1
0.93,0.895,0.898550724637681,0.927461139896373,0.898550724637681,0.93,0.914004914004914,0.5,0.465,0.5175,0.9125,0.9125,392.857586106774,1
0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.5,0.44,0.5,0.88,0.88,439.35106754604,1
0.9,0.91,0.909090909090909,0.900990099009901,0.909090909090909,0.9,0.904522613065327,0.5,0.45,0.495,0.905,0.905,383.263409604402,1
0.895,0.89,0.890547263681592,0.894472361809045,0.890547263681592,0.895,0.892768079800499,0.5,0.4475,0.5025,0.8925,0.8925,386.259448663027,1
0.915,0.895,0.897058823529412,0.913265306122449,0.897058823529412,0.915,0.905940594059406,0.5,0.4575,0.51,0.905,0.905,377.315559177359,1
0.895,0.88,0.881773399014778,0.893401015228426,0.881773399014778,0.895,0.88833746898263,0.5,0.4475,0.5075,0.8875,0.8875,385.41720984778,1
0.88,0.875,0.875621890547264,0.879396984924623,0.875621890547264,0.88,0.877805486284289,0.5,0.44,0.5025,0.8775,0.8775,427.105295688355,1
0.905,0.845,0.85377358490566,0.898936170212766,0.85377358490566,0.905,0.878640776699029,0.5,0.4525,0.53,0.875,0.875,443.762682985218,1
0.885,0.85,0.855072463768116,0.880829015544041,0.855072463768116,0.885,0.86977886977887,0.5,0.4425,0.5175,0.8675,0.8675,421.689096317992,1
0.855,0.84,0.842364532019704,0.852791878172589,0.842364532019704,0.855,0.84863523573201,0.5,0.4275,0.5075,0.8475,0.8475,441.085600135897,1
0.89,0.875,0.876847290640394,0.888324873096447,0.876847290640394,0.89,0.883374689826303,0.5,0.445,0.5075,0.8825,0.8825,408.153899360449,1
0.905,0.88,0.882926829268293,0.902564102564103,0.882926829268293,0.905,0.893827160493827,0.5,0.4525,0.5125,0.8925,0.8925,427.414256855536,1
0.83,0.88,0.873684210526316,0.838095238095238,0.873684210526316,0.83,0.851282051282051,0.5,0.415,0.475,0.855,0.855,445.953473084693,1
0.91,0.885,0.887804878048781,0.907692307692308,0.88780487804878,0.91,0.898765432098765,0.5,0.455,0.5125,0.8975,0.8975,381.486160080087,1
0.965,0.925,0.927884615384615,0.963541666666667,0.927884615384615,0.965,0.946078431372549,0.5,0.4825,0.52,0.945,0.945,349.98797325033,1
1,1,1,1,1,1,1,0.5,0.5,0.5,1,1,184.000001586337,0
0.955,0.9,0.90521327014218,0.952380952380952,0.90521327014218,0.955,0.929440389294404,0.5,0.4775,0.5275,0.9275,0.9275,369.257981736466,1
0.94,0.91,0.912621359223301,0.938144329896907,0.912621359223301,0.94,0.926108374384236,0.5,0.47,0.515,0.925,0.925,366.477368313053,1
0.915,0.93,0.928934010152284,0.916256157635468,0.928934010152284,0.915,0.92191435768262,0.5,0.4575,0.4925,0.9225,0.9225,362.244329352842,1
0.935,0.91,0.91219512195122,0.933333333333333,0.91219512195122,0.935,0.923456790123457,0.5,0.4675,0.5125,0.9225,0.9225,362.408549299886,1
0.935,0.915,0.916666666666667,0.933673469387755,0.916666666666667,0.935,0.925742574257426,0.5,0.4675,0.51,0.925,0.925,347.093640408377,1
0.91,0.87,0.875,0.90625,0.875,0.91,0.892156862745098,0.5,0.455,0.52,0.89,0.89,385.930090357149,1
0.905,0.915,0.914141414141414,0.905940594059406,0.914141414141414,0.905,0.909547738693467,0.5,0.4525,0.495,0.91,0.91,376.987545152902,1
0.92,0.91,0.910891089108911,0.919191919191919,0.910891089108911,0.92,0.915422885572139,0.5,0.46,0.505,0.915,0.915,371.894623799797,1
0.94,0.915,0.917073170731707,0.938461538461538,0.917073170731707,0.94,0.928395061728395,0.5,0.47,0.5125,0.9275,0.9275,364.512603406618,1
0.925,0.905,0.906862745098039,0.923469387755102,0.906862745098039,0.925,0.915841584158416,0.5,0.4625,0.51,0.915,0.915,364.419025387114,1
0.955,0.93,0.931707317073171,0.953846153846154,0.931707317073171,0.955,0.94320987654321,0.5,0.4775,0.5125,0.9425,0.9425,326.583993273,1
0.87,0.875,0.874371859296482,0.870646766169154,0.874371859296482,0.87,0.87218045112782,0.5,0.435,0.4975,0.8725,0.8725,408.513196128894,1
0.92,0.885,0.888888888888889,0.917098445595855,0.888888888888889,0.92,0.904176904176904,0.5,0.46,0.5175,0.9025,0.9025,376.570301446323,1
0.94,0.905,0.908212560386473,0.937823834196891,0.908212560386473,0.94,0.923832923832924,0.5,0.47,0.5175,0.9225,0.9225,375.358020328326,1
0.955,0.93,0.931707317073171,0.953846153846154,0.931707317073171,0.955,0.94320987654321,0.5,0.4775,0.5125,0.9425,0.9425,295.38965920997,1
0.88,0.895,0.893401015228426,0.881773399014778,0.893401015228426,0.88,0.886649874055416,0.5,0.44,0.4925,0.8875,0.8875,410.844400878001,1
