"Sensitivity","Specificity","Pos Pred Value","Neg Pred Value","Precision","Recall","F1","Prevalence","Detection Rate","Detection Prevalence","Balanced Accuracy","Accuracy","AIC","Converged"
0.57,0.65,0.619565217391304,0.601851851851852,0.619565217391304,0.57,0.59375,0.5,0.285,0.46,0.61,0.61,593.648929266243,1
0.615,0.66,0.643979057591623,0.631578947368421,0.643979057591623,0.615,0.629156010230179,0.5,0.3075,0.4775,0.6375,0.6375,578.481854522046,1
0.67,0.755,0.73224043715847,0.695852534562212,0.73224043715847,0.67,0.699738903394256,0.5,0.335,0.4575,0.7125,0.7125,562.739589696437,1
0.575,0.665,0.631868131868132,0.610091743119266,0.631868131868132,0.575,0.602094240837696,0.5,0.2875,0.455,0.62,0.62,590.638884623311,1
0.67,0.685,0.680203045685279,0.67487684729064,0.680203045685279,0.67,0.675062972292191,0.5,0.335,0.4925,0.6775,0.6775,557.266126429721,1
0.62,0.71,0.681318681318681,0.651376146788991,0.681318681318681,0.62,0.649214659685864,0.5,0.31,0.455,0.665,0.665,577.35612744168,1
0.62,0.665,0.649214659685864,0.636363636363636,0.649214659685864,0.62,0.634271099744246,0.5,0.31,0.4775,0.6425,0.6425,570.814386360748,1
0.635,0.695,0.675531914893617,0.65566037735849,0.675531914893617,0.635,0.654639175257732,0.5,0.3175,0.47,0.665,0.665,578.801864932768,1
0.665,0.64,0.648780487804878,0.656410256410256,0.648780487804878,0.665,0.65679012345679,0.5,0.3325,0.5125,0.6525,0.6525,568.288472584422,1
0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.5,0.355,0.5,0.71,0.71,560.795251282436,1
0.655,0.69,0.678756476683938,0.666666666666667,0.678756476683938,0.655,0.666666666666667,0.5,0.3275,0.4825,0.6725,0.6725,567.385697849782,1
0.645,0.68,0.66839378238342,0.657004830917874,0.66839378238342,0.645,0.656488549618321,0.5,0.3225,0.4825,0.6625,0.6625,570.604052257253,1
0.64,0.69,0.673684210526316,0.657142857142857,0.673684210526316,0.64,0.656410256410256,0.5,0.32,0.475,0.665,0.665,559.308967501506,1
0.615,0.66,0.643979057591623,0.631578947368421,0.643979057591623,0.615,0.629156010230179,0.5,0.3075,0.4775,0.6375,0.6375,575.031512988757,1
0.67,0.665,0.666666666666667,0.668341708542714,0.666666666666667,0.67,0.668329177057357,0.5,0.335,0.5025,0.6675,0.6675,564.6837342096,1
0.65,0.745,0.718232044198895,0.680365296803653,0.718232044198895,0.65,0.68241469816273,0.5,0.325,0.4525,0.6975,0.6975,571.357570711276,1
0.68,0.735,0.71957671957672,0.696682464454976,0.71957671957672,0.68,0.699228791773779,0.5,0.34,0.4725,0.7075,0.7075,561.863634057369,1
0.7,0.67,0.679611650485437,0.690721649484536,0.679611650485437,0.7,0.689655172413793,0.5,0.35,0.515,0.685,0.685,567.015813111149,1
0.64,0.705,0.684491978609626,0.661971830985915,0.684491978609626,0.64,0.661498708010336,0.5,0.32,0.4675,0.6725,0.6725,564.194978776522,1
0.63,0.655,0.646153846153846,0.639024390243903,0.646153846153846,0.63,0.637974683544304,0.5,0.315,0.4875,0.6425,0.6425,572.796190750065,1
0.655,0.675,0.668367346938776,0.661764705882353,0.668367346938776,0.655,0.661616161616162,0.5,0.3275,0.49,0.665,0.665,565.733388437359,1
0.59,0.705,0.666666666666667,0.632286995515695,0.666666666666667,0.59,0.625994694960212,0.5,0.295,0.4425,0.6475,0.6475,580.125059317934,1
0.705,0.64,0.661971830985915,0.684491978609626,0.661971830985915,0.705,0.682808716707022,0.5,0.3525,0.5325,0.6725,0.6725,566.674384317974,1
0.63,0.625,0.626865671641791,0.628140703517588,0.626865671641791,0.63,0.628428927680798,0.5,0.315,0.5025,0.6275,0.6275,588.472143765538,1
0.585,0.64,0.619047619047619,0.606635071090047,0.619047619047619,0.585,0.601542416452442,0.5,0.2925,0.4725,0.6125,0.6125,587.802017106389,1
0.655,0.67,0.66497461928934,0.660098522167488,0.66497461928934,0.655,0.659949622166247,0.5,0.3275,0.4925,0.6625,0.6625,566.573886943851,1
0.67,0.695,0.687179487179487,0.678048780487805,0.687179487179487,0.67,0.678481012658228,0.5,0.335,0.4875,0.6825,0.6825,555.812016203972,1
0.66,0.715,0.698412698412698,0.677725118483412,0.698412698412698,0.66,0.67866323907455,0.5,0.33,0.4725,0.6875,0.6875,574.172060365854,1
0.68,0.69,0.686868686868687,0.683168316831683,0.686868686868687,0.68,0.683417085427136,0.5,0.34,0.495,0.685,0.685,559.318979800991,1
0.72,0.68,0.692307692307692,0.708333333333333,0.692307692307692,0.72,0.705882352941177,0.5,0.36,0.52,0.7,0.7,549.893625334667,1
